DEPARTMENT_ID;DEPARTMENT_NAME;MANAGER_ID
10;Administration;200
20;Marketing;201
30;Purchasing;114
40;Human Resources;203
50;Shipping;121
60;IT;103
70;Public Relations;204
80;Sales;145
90;Executive;100
100;Finance;108
110;Accounting;205
120;Treasury;
130;Corporate Tax;
140;Control And Credit;
150;Shareholder Services;
160;Benefits;
170;Manufacturing;
180;Construction;
190;Contracting;
200;Operations;
210;IT Support;
220;NOC;
230;IT Helpdesk;
240;Government Sales;
250;Retail Sales;
260;Recruiting;
270;Payroll;
